Global_active_power,Voltage,Global_intensity
2.16,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
1.9800000000000002,240.1,4.6
1.9800000000000002,240.1,4.6
1.9800000000000002,240.1,4.6
1.9800000000000002,240.1,4.6
1.9800000000000002,240.1,4.6
1.9800000000000002,240.1,4.6
1.9800000000000002,240.1,4.6
1.9800000000000002,240.1,4.6
1.9800000000000002,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
2.16,240.1,4.6
2.3400000000000003,240.3,5.4
2.3400000000000003,240.3,5.4
2.3400000000000003,240.3,5.4
2.3400000000000003,240.3,5.4
2.3400000000000003,240.3,5.4
2.3400000000000003,240.3,5.4
2.3400000000000003,240.3,5.4
2.3400000000000003,240.3,5.4
2.3400000000000003,240.3,5.4
2.3400000000000003,240.3,5.4
2.52,239.9,5.8
2.52,239.9,5.8
2.52,239.9,5.8
2.52,239.9,5.8
2.52,239.9,5.8
2.52,239.9,5.8
2.52,239.9,5.8
2.52,239.9,5.8
2.52,239.9,5.8
2.52,239.9,5.8
2.7,240.2,6.2
2.7,240.2,6.2
2.7,240.2,6.2
2.7,240.2,6.2
2.7,240.2,6.2
2.7,240.2,6.2
2.7,240.2,6.2
2.7,240.2,6.2
2.7,240.2,6.2
2.7,240.2,6.2
2.8800000000000003,240.0,6.6
2.8800000000000003,240.0,6.6
2.8800000000000003,240.0,6.6
2.8800000000000003,240.0,6.6
2.8800000000000003,240.0,6.6
2.8800000000000003,240.0,6.6
2.8800000000000003,240.0,6.6
2.8800000000000003,240.0,6.6
2.8800000000000003,240.0,6.6
2.8800000000000003,240.0,6.6
3.06,239.7,7.0
3.06,239.7,7.0
3.06,239.7,7.0
3.06,239.7,7.0
3.06,239.7,7.0
3.06,239.7,7.0
3.06,239.7,7.0
3.06,239.7,7.0
3.06,239.7,7.0
3.06,239.7,7.0
3.24,240.4,7.4
3.24,240.4,7.4
3.24,240.4,7.4
3.24,240.4,7.4
3.24,240.4,7.4
3.24,240.4,7.4
3.24,240.4,7.4
3.24,240.4,7.4
3.24,240.4,7.4
3.24,240.4,7.4
3.42,240.1,7.8
3.42,240.1,7.8
3.42,240.1,7.8
3.42,240.1,7.8
3.42,240.1,7.8
3.42,240.1,7.8
3.42,240.1,7.8
3.42,240.1,7.8
3.42,240.1,7.8
3.42,240.1,7.8
3.6,239.9,8.2
3.6,239.9,8.2
3.6,239.9,8.2
3.6,239.9,8.2
3.6,239.9,8.2
3.6,239.9,8.2
3.6,239.9,8.2
3.6,239.9,8.2
3.6,239.9,8.2
3.6,239.9,8.2
